Site ID,School District,Site Name,School Type,Survey Status,Survey Type,Year,Total Students,Vaccine,,Fully Immunized,In Process,Incomplete Record,Medical Exemption,No Record,Personal Exemption,Religious Exemption
13624,Roaring Fork RE-1,Carbondale Community Charter School,Charter,Completed,School,2018/2019,46,Tdap,0.970,0.957,0.000,0.000,0.043,0.000,0.000,0.000
13629,Dolores RE-4A,Dolores Middle School,Regular,Completed,School,2018/2019,123,Tdap,1.000,0.902,0.000,0.000,0.000,0.000,0.081,0.016
13630,Dolores RE-4A,Dolores High School,Regular,Completed,School,2018/2019,155,Tdap,1.000,0.923,0.000,0.000,0.000,0.000,0.077,0.000
13653,Colorado Springs 11,Evangelical Christian Academy - Elementary Campus,Regular,Completed,School,2018/2019,18,Tdap,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
13662,Douglas County RE 1,American Academy - All Campuses,Charter,Completed,School,2018/2019,718,Tdap,0.954,0.898,0.000,0.000,0.001,0.074,0.021,0.006
13671,Poudre R-1,Fort Collins Christian School,Regular,Completed,School,2018/2019,,Tdap,1.000,0.500,0.000,0.000,0.000,0.000,0.500,0.000
13698,Jefferson County R-1,Beth Eden Baptist School,Regular,Completed,School,2018/2019,106,Tdap,0.909,0.679,0.000,0.142,0.000,0.000,0.142,0.038
13700,Estes Park R-3,Eagle Rock School,Regular,Completed,School,2018/2019,49,Tdap,0.918,0.959,0.000,0.000,0.000,0.020,0.020,0.000
13703,Adams-Arapahoe 28J,Academy of Advanced Learning,Charter,Completed,School,2018/2019,175,Tdap,0.854,0.703,0.000,0.280,0.000,0.017,0.000,0.000
13705,Agate 300,Agate Junior Senior High School,Regular,Completed,School,2018/2019,19,Tdap,1.000,0.684,0.316,0.000,0.000,0.000,0.000,0.000
13715,Jefferson County R-1,Emory Elementary School,Regular,Completed,School,2018/2019,81,Tdap,0.883,0.753,0.000,0.210,0.000,0.025,0.000,0.012
13716,Greeley 6,Fred Tjardes School of Innovation,Regular,Completed,School,2018/2019,32,Tdap,0.944,0.875,0.000,0.063,0.000,0.000,0.063,0.000
13718,Jefferson County R-1,Jefferson Academy Elementary School,Charter,Completed,School,2018/2019,106,Tdap,0.984,0.943,0.000,0.000,0.000,0.009,0.038,0.009
13722,Eaton RE-2,Northern Colorado Christian Academy,Regular,Completed,School,2018/2019,12,Tdap,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
13729,Monte Vista C-8,St Peter's Lutheran School,Regular,Completed,School,2018/2019,20,Tdap,0.700,0.800,0.000,0.200,0.000,0.000,0.000,0.000
13732,Jefferson County R-1,Three Creeks K-8,Regular,Completed,School,2018/2019,185,Tdap,0.945,0.908,0.000,0.049,0.000,0.005,0.027,0.011
13735,Adams-Arapahoe 28J,Vega Collegiate Academy,Charter,Completed,School,2018/2019,60,Tdap,0.392,0.100,0.000,0.833,0.000,0.067,0.000,0.000
13759,St Vrain Valley Re 1J,Soaring Heights K-8,Regular,Completed,School,2018/2019,346,Tdap,0.824,0.803,0.000,0.171,0.000,0.009,0.017,0.000
13771,Adams 12 Five Star Schools,Thunder Vista K-8,Regular,Completed,School,2018/2019,181,Tdap,0.976,0.983,0.000,0.011,0.000,0.000,0.006,0.000
13774,Douglas County RE 1,Ascent Classical Academy,Charter,Completed,School,2018/2019,128,Tdap,0.852,0.516,0.000,0.000,0.000,0.203,0.250,0.031
13776,Poudre R-1,Compass Community Collaborative School,Charter,Completed,School,2018/2019,146,Tdap,0.863,0.808,0.021,0.096,0.000,0.000,0.068,0.007
13779,Falcon 49,Liberty Tree Academy,Charter,Completed,School,2018/2019,97,Tdap,0.921,0.588,0.000,0.258,0.000,0.000,0.144,0.010
13780,Douglas County RE 1,Leman Classical Academy,Charter,Completed,School,2018/2019,94,Tdap,0.939,0.798,0.000,0.000,0.000,0.053,0.149,0.000
13781,School District 27J,Roger Quist Middle School,Regular,Completed,School,2018/2019,672,Tdap,0.993,0.966,0.000,0.006,0.000,0.000,0.025,0.003
13783,Academy 20,New Summit Charter Academy,Charter,Completed,School,2018/2019,53,Tdap,0.818,0.642,0.000,0.340,0.000,0.019,0.000,0.000
13787,School District 27J,Riverdale Ridge High School,Regular,Completed,School,2018/2019,549,Tdap,0.993,0.976,0.000,0.004,0.000,0.000,0.018,0.002
13795,Poudre R-1,Liberty Common High School,Charter,Completed,School,2018/2019,531,Tdap,1.000,0.915,0.000,0.000,0.000,0.000,0.085,0.000
13799,Lake County R-1,High Mountain Institute,Regular,Completed,School,2018/2019,94,Tdap,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
13803,Colorado Springs 11,Digital High School,Regular,Completed,School,2018/2019,128,Tdap,0.930,0.898,0.000,0.031,0.000,0.016,0.047,0.008
13818,Boulder Valley RE 2,Adventure Montessori,Regular,Completed,School,2018/2019,,Tdap,0.818,1.000,0.000,0.000,0.000,0.000,0.000,0.000
13821,Poudre R-1,Project Search,Regular,Completed,School,2018/2019,,Tdap,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
13822,Poudre R-1,Community Connections,Regular,Completed,School,2018/2019,15,Tdap,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
13823,Poudre R-1,Cooper Home,Regular,Completed,School,2018/2019,22,Tdap,1.000,0.909,0.000,0.000,0.000,0.000,0.091,0.000
13826,School District 27J,Innovations and Options,Regular,Completed,School,2018/2019,267,Tdap,0.993,0.989,0.000,0.004,0.000,0.000,0.007,0.000
13827,Jefferson County R-1,Mountview Youth Service Center,Regular,Completed,School,2018/2019,14,Tdap,0.286,0.286,0.000,0.143,0.000,0.571,0.000,0.000
13830,Academy 20,TCA College Pathways,Charter,Completed,School,2018/2019,525,Tdap,0.975,0.990,0.000,0.000,0.000,0.010,0.000,0.000
13831,Academy 20,The Classical Academy JH,Charter,Completed,School,2018/2019,379,Tdap,0.995,1.000,0.000,0.000,0.000,0.000,0.000,0.000
13832,Academy 20,TCA Cottage School JH,Charter,Completed,School,2018/2019,40,Tdap,0.975,0.975,0.000,0.000,0.000,0.025,0.000,0.000
13833,Academy 20,TCA Elementary North,Charter,Completed,School,2018/2019,80,Tdap,0.974,0.925,0.000,0.000,0.000,0.075,0.000,0.000
13834,Academy 20,TCA Elementary Central,Charter,Completed,School,2018/2019,78,Tdap,0.970,0.923,0.000,0.000,0.000,0.077,0.000,0.000
13835,Academy 20,TCA Elementary East,Charter,Completed,School,2018/2019,74,Tdap,0.993,1.000,0.000,0.000,0.000,0.000,0.000,0.000
13836,Academy 20,TCA Cottage School Elem,Charter,Completed,School,2018/2019,37,Tdap,0.981,0.973,0.000,0.000,0.000,0.027,0.000,0.000
13837,Academy 20,Home School Academy Programs,Regular,Completed,School,2018/2019,152,Tdap,0.738,0.697,0.000,0.276,0.000,0.026,0.000,0.000
13838,Greeley 6,Trinity Lutheran - Greeley,Regular,Completed,School,2018/2019,,Tdap,1.000,0.833,0.167,0.000,0.000,0.000,0.000,0.000
13839,Denver County 1,Delta High School,Alt. Ed,Completed,School,2018/2019,83,Tdap,0.639,0.783,0.000,0.120,0.000,0.096,0.000,0.000
13845,St Vrain Valley Re 1J,Career Development Center,Regular,Completed,School,2018/2019,,Tdap,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
