Site ID,School District,Site Name,School Type,Survey Status,Survey Type,Year,Total Students,Vaccine,,Fully Immunized,In Process,Incomplete Record,Medical Exemption,No Record,Personal Exemption,Religious Exemption
10621,Denver County 1,Carson Elementary School,Regular,Completed,School,2018/2019,461,Varicella,0.933,0.937,0.000,0.028,0.000,0.015,0.020,0.000
10622,Fountain 8,Carson Middle School,Regular,Completed,School,2018/2019,661,Varicella,0.766,0.973,0.002,0.012,0.000,0.006,0.008,0.000
10623,Colorado Springs 11,Carver Elementary School,Regular,Completed,School,2018/2019,297,Varicella,0.953,0.912,0.010,0.027,0.000,0.003,0.040,0.007
10624,Boulder Valley RE 2,Casey Middle School,Regular,Completed,School,2018/2019,667,Varicella,0.753,0.852,0.004,0.084,0.013,0.000,0.046,0.000
10625,Douglas County RE 1,Castle Rock Elementary School,Regular,Completed,School,2018/2019,452,Varicella,0.838,0.903,0.004,0.046,0.000,0.004,0.035,0.007
10626,Douglas County RE 1,Castle Rock Middle School,Regular,Completed,School,2018/2019,937,Varicella,0.938,0.939,0.013,0.007,0.001,0.001,0.033,0.005
10627,Douglas County RE 1,Castle View High School,Regular,Completed,School,2018/2019,2346,Varicella,0.981,0.938,0.024,0.004,0.002,0.001,0.029,0.002
10628,Denver County 1,Castro Elementary School,Regular,Completed,School,2018/2019,332,Varicella,0.907,0.949,0.000,0.048,0.000,0.003,0.000,0.000
10630,Pueblo County 70,Cedar Ridge Elementary School,Regular,Completed,School,2018/2019,466,Varicella,1.000,0.983,0.000,0.000,0.000,0.000,0.017,0.000
10631,Delta County 50(J),Cedaredge Elementary School,Regular,Completed,School,2018/2019,385,Varicella,0.995,0.917,0.003,0.016,0.003,0.000,0.062,0.000
10632,Delta County 50(J),Cedaredge High School,Regular,Completed,School,2018/2019,269,Varicella,0.996,0.937,0.004,0.004,0.000,0.000,0.056,0.000
10633,Delta County 50(J),Cedaredge Middle School,Regular,Completed,School,2018/2019,233,Varicella,0.987,0.948,0.004,0.000,0.000,0.004,0.043,0.000
10635,North Conejos RE-1J,Centauri High School,Regular,Completed,School,2018/2019,292,Varicella,0.935,0.894,0.000,0.045,0.000,0.000,0.062,0.000
10636,North Conejos RE-1J,Centauri Middle School,Regular,Completed,School,2018/2019,249,Varicella,0.904,0.932,0.000,0.020,0.016,0.000,0.032,0.000
10637,Boulder Valley RE 2,Centaurus High School,Regular,Completed,School,2018/2019,1442,Varicella,0.920,0.829,0.000,0.000,0.002,0.015,0.151,0.003
10638,Denver County 1,Centennial A School For Expeditionary Learning,Regular,Completed,School,2018/2019,382,Varicella,0.880,0.914,0.000,0.058,0.000,0.026,0.000,0.003
10639,Littleton 6,Centennial Academy Of Fine Arts Education,Regular,Completed,School,2018/2019,530,Varicella,0.921,0.951,0.000,0.036,0.000,0.000,0.013,0.000
10641,St Vrain Valley Re 1J,Centennial Elementary,Regular,Completed,School,2018/2019,579,Varicella,0.888,0.889,0.000,0.074,0.000,0.007,0.029,0.000
10642,Adams 12 Five Star Schools,Centennial Elementary School,Regular,Completed,School,2018/2019,431,Varicella,0.981,0.965,0.000,0.009,0.000,0.002,0.023,0.000
10643,Greeley 6,Centennial Elementary School,Regular,Completed,School,2018/2019,473,Varicella,0.964,0.956,0.000,0.027,0.002,0.011,0.004,0.000
10644,Thompson R2-J,Centennial Elementary School,Regular,Completed,School,2018/2019,447,Varicella,0.971,0.931,0.000,0.004,0.002,0.009,0.054,0.000
10645,Harrison 2,Centennial Elementary School,Regular,Completed,School,2018/2019,517,Varicella,0.896,0.886,0.000,0.093,0.010,0.000,0.010,0.002
10646,Pueblo City 60,Centennial High School,Regular,Completed,School,2018/2019,1045,Varicella,0.926,0.967,0.000,0.012,0.002,0.009,0.010,0.001
10647,Poudre R-1,Centennial High School,Alt. Ed,Completed,School,2018/2019,129,Varicella,1.000,0.868,0.000,0.016,0.000,0.054,0.062,0.000
10648,Montrose County RE-1j,Centennial Middle School,Regular,Completed,School,2018/2019,612,Varicella,0.923,0.949,0.000,0.011,0.002,0.000,0.038,0.000
10649,Boulder Valley RE 2,Centennial Middle School,Regular,Completed,School,2018/2019,634,Varicella,0.795,0.897,0.002,0.027,0.002,0.055,0.017,0.000
10650,Centennial R-1,Centennial School,Regular,Completed,School,2018/2019,205,Varicella,0.932,0.966,0.000,0.005,0.000,0.024,0.005,0.000
10651,Center 26 JT,Center High School,Regular,Completed,School,2018/2019,138,Varicella,1.000,0.949,0.000,0.000,0.029,0.000,0.022,0.000
10653,St Vrain Valley Re 1J,Central Elementary School,Regular,Completed,School,2018/2019,349,Varicella,0.928,0.857,0.000,0.046,0.000,0.003,0.095,0.000
10654,Adams County 14,Central Elementary School,Regular,Completed,School,2018/2019,450,Varicella,0.998,0.982,0.000,0.002,0.000,0.000,0.007,0.009
10655,Pueblo City 60,Central High School,Regular,Completed,School,2018/2019,725,Varicella,0.941,0.959,0.000,0.010,0.007,0.010,0.014,0.001
10656,Mesa County Valley 51,Central High School,Regular,Completed,School,2018/2019,1583,Varicella,0.975,0.946,0.000,0.023,0.001,0.001,0.030,0.000
10657,Adams-Arapahoe 28J,Century Elementary School,Regular,Completed,School,2018/2019,227,Varicella,0.956,0.960,0.000,0.018,0.004,0.004,0.009,0.004
10658,Adams 12 Five Star Schools,Century Middle School,Regular,Completed,School,2018/2019,955,Varicella,0.981,0.988,0.001,0.005,0.001,0.000,0.003,0.001
10660,Buena Vista R-31,Chaffee County High School,Alt. Ed,Completed,School,2018/2019,37,Varicella,0.676,0.703,0.000,0.270,0.000,0.000,0.027,0.000
10661,Cherry Creek 5,Challenge School,Magnet,Completed,School,2018/2019,527,Varicella,0.924,0.964,0.000,0.011,0.002,0.002,0.021,0.000
10662,Douglas County RE 1,Challenge To Excellence Charter School,Charter,Completed,School,2018/2019,570,Varicella,0.954,0.939,0.004,0.016,0.000,0.000,0.035,0.007
10663,Academy 20,Challenger Middle School,Regular,Completed,School,2018/2019,900,Varicella,0.807,0.903,0.000,0.071,0.003,0.014,0.006,0.002
10664,Douglas County RE 1,Chaparral High School,Regular,Completed,School,2018/2019,2377,Varicella,0.939,0.925,0.011,0.037,0.002,0.003,0.021,0.001
10665,Greeley 6,Chappelow K-8 Magnet School,Magnet,Completed,School,2018/2019,654,Varicella,0.994,0.979,0.000,0.000,0.003,0.000,0.018,0.000
10666,Englewood 1,Charles Hay World School,Regular,Completed,School,2018/2019,336,Varicella,0.884,0.917,0.018,0.057,0.000,0.000,0.006,0.003
10667,Denver County 1,Charles M. Schenck (cms) Community School,Regular,Completed,School,2018/2019,320,Varicella,0.919,0.950,0.000,0.047,0.000,0.003,0.000,0.000
10668,Mesa County Valley 51,Chatfield Elementary School,Regular,Completed,School,2018/2019,366,Varicella,0.904,0.899,0.000,0.074,0.005,0.008,0.011,0.003
10669,Jefferson County R-1,Chatfield High School,Regular,Completed,School,2018/2019,1817,Varicella,0.956,0.966,0.000,0.019,0.002,0.006,0.008,0.000
10671,Denver County 1,Cheltenham Elementary School,Regular,Completed,School,2018/2019,329,Varicella,0.918,0.951,0.000,0.030,0.003,0.015,0.000,0.000
10672,Cheraw 31,Cheraw School,Regular,Completed,School,2018/2019,213,Varicella,1.000,0.981,0.000,0.000,0.000,0.000,0.019,0.000
10673,Douglas County RE 1,Cherokee Trail Elementary School,Regular,Completed,School,2018/2019,537,Varicella,0.899,0.952,0.004,0.019,0.002,0.002,0.019,0.004
10674,Cherry Creek 5,Cherokee Trail High School,Regular,Completed,School,2018/2019,2853,Varicella,0.887,0.950,0.000,0.033,0.002,0.004,0.010,0.001
10675,Englewood 1,Cherrelyn Elementary School,Regular,Completed,School,2018/2019,224,Varicella,0.991,0.955,0.000,0.004,0.000,0.000,0.036,0.004
10677,Cherry Creek 5,Cherry Creek High School,Regular,Completed,School,2018/2019,3739,Varicella,0.899,0.963,0.000,0.019,0.001,0.004,0.012,0.001
10678,Adams 12 Five Star Schools,Cherry Drive Elementary School,Regular,Completed,School,2018/2019,341,Varicella,0.997,0.974,0.000,0.003,0.000,0.000,0.015,0.009
10679,Cherry Creek 5,Cherry Hills Village Elementary School,Regular,Completed,School,2018/2019,539,Varicella,0.889,0.954,0.000,0.017,0.000,0.002,0.024,0.004
10680,Douglas County RE 1,Cherry Valley Elementary School,Regular,Completed,School,2018/2019,55,Varicella,0.964,0.964,0.000,0.000,0.000,0.000,0.036,0.000
10682,Cheyenne Mountain 12,Cheyenne Mountain High School,Regular,Completed,School,2018/2019,1297,Varicella,0.982,0.967,0.000,0.012,0.004,0.002,0.015,0.002
10683,Cheyenne Mountain 12,Cheyenne Mountain Junior High School,Regular,Completed,School,2018/2019,640,Varicella,0.973,0.956,0.000,0.009,0.000,0.000,0.028,0.006
10684,Cheyenne County RE-5,Cheyenne Wells K-12 Schools,Regular,Completed,School,2018/2019,161,Varicella,1.000,0.888,0.000,0.000,0.006,0.000,0.087,0.019
10685,Montezuma-Cortez RE-1,Children's Kiva Montessori School,Charter,Completed,School,2018/2019,79,Varicella,1.000,0.848,0.000,0.000,0.000,0.000,0.127,0.025
10686,Academy 20,Chinook Trail Elementary School,Regular,Completed,School,2018/2019,631,Varicella,0.894,0.941,0.000,0.044,0.003,0.003,0.008,0.000
10687,Colorado Springs 11,Chipeta Elementary School,Regular,Completed,School,2018/2019,438,Varicella,0.982,0.957,0.000,0.009,0.000,0.000,0.032,0.002
10688,Mesa County Valley 51,Chipeta Elementary School,Regular,Completed,School,2018/2019,459,Varicella,0.965,0.961,0.000,0.024,0.000,0.002,0.011,0.002
10690,Denver County 1,Christ The King Roman Catholic,Regular,Completed,School,2018/2019,204,Varicella,0.951,0.980,0.000,0.015,0.000,0.005,0.000,0.000
10691,Greeley 6,Christa Mcauliffe Stem Academy,Regular,Completed,School,2018/2019,853,Varicella,0.977,0.961,0.001,0.008,0.002,0.004,0.022,0.001
10692,Cherry Creek 5,Cimarron Elementary School,Regular,Completed,School,2018/2019,455,Varicella,0.930,0.978,0.000,0.011,0.002,0.002,0.000,0.007
10693,Douglas County RE 1,Cimarron Middle,Regular,Completed,School,2018/2019,1387,Varicella,0.941,0.965,0.005,0.008,0.000,0.004,0.017,0.001
10695,Westminster Public Schools,Clara E. Metz Elementary School,Regular,Completed,School,2018/2019,294,Varicella,0.905,0.915,0.000,0.082,0.000,0.000,0.000,0.003
10696,Englewood 1,Clayton Elementary School,Regular,Completed,School,2018/2019,436,Varicella,0.869,0.940,0.000,0.030,0.000,0.025,0.002,0.002
10697,Mapleton 1,Clayton Partnership School,Magnet,Completed,School,2018/2019,463,Varicella,0.924,0.940,0.000,0.050,0.000,0.000,0.011,0.000
10698,Clear Creek RE-1,Clear Creek High School,Regular,Completed,School,2018/2019,223,Varicella,0.969,0.978,0.000,0.000,0.000,0.000,0.022,0.000
10699,Clear Creek RE-1,Clear Creek Middle School,Regular,Completed,School,2018/2019,99,Varicella,0.970,0.949,0.000,0.010,0.010,0.000,0.030,0.000
10700,Douglas County RE 1,Clear Sky Elementary,Regular,Completed,School,2018/2019,825,Varicella,0.891,0.927,0.001,0.016,0.004,0.010,0.040,0.002
10701,Mesa County Valley 51,Clifton Elementary School,Regular,Completed,School,2018/2019,379,Varicella,0.979,0.950,0.000,0.005,0.000,0.000,0.042,0.003
10702,Douglas County RE 1,Cloverleaf Home Education,Regular,Completed,School,2018/2019,418,Varicella,0.947,0.730,0.000,0.022,0.000,0.000,0.227,0.022
10703,Adams-Arapahoe 28J,Clyde Miller K-8,Regular,Completed,School,2018/2019,473,Varicella,0.947,0.987,0.000,0.008,0.000,0.002,0.002,0.000
10704,Jefferson County R-1,Coal Creek Canyon K-8 Elementary School,Regular,Completed,School,2018/2019,137,Varicella,0.985,0.854,0.000,0.000,0.000,0.000,0.146,0.000
10705,Boulder Valley RE 2,Coal Creek Elementary School,Regular,Completed,School,2018/2019,409,Varicella,0.971,0.912,0.007,0.022,0.005,0.000,0.054,0.000
10706,Garfield RE-2,Coal Ridge High School,Regular,Completed,School,2018/2019,575,Varicella,1.000,0.955,0.000,0.000,0.003,0.000,0.040,0.002
10707,St Vrain Valley Re 1J,Coal Ridge Middle School,Regular,Completed,School,2018/2019,797,Varicella,0.842,0.957,0.000,0.009,0.000,0.003,0.031,0.000
10708,Denver County 1,Cole Arts And Science Academy,Regular,Completed,School,2018/2019,382,Varicella,0.827,0.864,0.000,0.071,0.000,0.065,0.000,0.000
10709,Denver County 1,Colfax Elementary School,Regular,Completed,School,2018/2019,236,Varicella,0.890,0.919,0.000,0.038,0.000,0.042,0.000,0.000
10710,Denver County 1,College View Elementary School,Regular,Completed,School,2018/2019,364,Varicella,0.838,0.874,0.000,0.069,0.000,0.058,0.000,0.000
10711,Jefferson County R-1,Collegiate Academy Of Colorado,Charter,Completed,School,2018/2019,472,Varicella,0.900,0.862,0.000,0.032,0.002,0.002,0.095,0.006
10712,Denver County 1,Collegiate Preparatory Academy,Regular,Completed,School,2018/2019,392,Varicella,0.839,0.911,0.000,0.046,0.005,0.038,0.000,0.000
10713,Colorado Springs 11,Colo Springs Christian School - Main Campus,Regular,Completed,School,2018/2019,875,Varicella,0.982,0.850,0.040,0.007,0.006,0.010,0.073,0.014
10719,Charter School Institute,Colorado Early College Fort Collins,Charter,Completed,School,2018/2019,1348,Varicella,0.999,0.785,0.001,0.001,0.001,0.000,0.200,0.013
10720,Charter School Institute,Colorado Early Colleges - Parker,Charter,Completed,School,2018/2019,600,Varicella,0.938,0.780,0.000,0.043,0.022,0.000,0.152,0.003
10721,Denver County 1,Colorado High School Charter - Osage,Charter,Completed,School,2018/2019,334,Varicella,0.820,0.886,0.000,0.084,0.006,0.024,0.000,0.000
10724,Colorado School For The Deaf And Blind,Colorado School For The Deaf And Blind,Alt. Ed,Completed,School,2018/2019,168,Varicella,1.000,0.929,0.000,0.000,0.006,0.000,0.065,0.000
10725,Charter School Institute,Colorado Springs Charter Academy,Charter,Completed,School,2018/2019,463,Varicella,0.935,0.924,0.004,0.017,0.002,0.017,0.030,0.004
10726,Charter School Institute,Colorado Springs Early Colleges,Charter,Completed,School,2018/2019,664,Varicella,0.949,0.807,0.000,0.033,0.008,0.000,0.146,0.006
10727,Westminster Public Schools,Colorado Stem Academy,Magnet,Completed,School,2018/2019,377,Varicella,0.976,0.955,0.000,0.008,0.000,0.000,0.034,0.003
