Site ID,School District,Site Name,School Type,Survey Status,Survey Type,Year,Total Students,Vaccine,,Fully Immunized,In Process,Incomplete Record,Medical Exemption,No Record,Personal Exemption,Religious Exemption
11632,Eagle County Child Care Facilities,The Family Learning Center,Regular,Completed,Child Care/Preschool,2018/2019,73,DTaP,0.890,0.918,0.000,0.055,0.000,0.000,0.027,0.000
11636,Fremont County Child Care Facilities,The Giving Tree,Regular,Completed,Child Care/Preschool,2018/2019,32,DTaP,1.000,0.938,0.000,0.000,0.000,0.000,0.063,0.000
11638,Broomfield County Child Care Facilities,The Goddard School - 3301 W 144th AVE STE 100,Regular,Completed,Child Care/Preschool,2018/2019,130,DTaP,1.000,0.992,0.000,0.000,0.000,0.000,0.008,0.000
11639,Arapahoe County Child Care Facilities,The Goddard School - 6477 S Lima ST,Regular,Completed,Child Care/Preschool,2018/2019,155,DTaP,1.000,0.987,0.000,0.000,0.000,0.000,0.013,0.000
11640,Arapahoe County Child Care Facilities,The Goddard School - 23905 E Arapahoe RD,Regular,Completed,Child Care/Preschool,2018/2019,138,DTaP,1.000,0.986,0.000,0.000,0.000,0.000,0.014,0.000
11641,Larimer County Child Care Facilities,The Goddard School - 6427 Carmichael ST,Regular,Completed,Child Care/Preschool,2018/2019,168,DTaP,1.000,0.988,0.006,0.000,0.000,0.000,0.006,0.000
11642,Arapahoe County Child Care Facilities,The Goddard School - 21805 E Quincy AVE,Regular,Completed,Child Care/Preschool,2018/2019,167,DTaP,1.000,0.964,0.000,0.000,0.024,0.000,0.006,0.006
11643,Jefferson County Child Care Facilities,The Goddard School - 12850 W Alameda PKWY,Regular,Completed,Child Care/Preschool,2018/2019,158,DTaP,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
11644,Denver County Child Care Facilities,The Goddard School - 1400 S Emerson ST,Regular,Completed,Child Care/Preschool,2018/2019,141,DTaP,0.901,0.957,0.000,0.000,0.000,0.000,0.043,0.000
11645,Arapahoe County Child Care Facilities,The Goddard School - 6447 S Lima ST,Regular,Completed,Child Care/Preschool,2018/2019,26,DTaP,1.000,0.962,0.000,0.000,0.000,0.000,0.038,0.000
11646,Adams County Child Care Facilities,The Goddard School - 4147 W Main ST,Regular,Completed,Child Care/Preschool,2018/2019,111,DTaP,0.919,0.919,0.000,0.000,0.000,0.081,0.000,0.000
11647,Douglas County Child Care Facilities,The Goddard School - 1101 Sgt John Stiles DR,Regular,Completed,Child Care/Preschool,2018/2019,130,DTaP,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
11648,Boulder County Child Care Facilities,The Goddard School - 380 Centennial PKWY,Regular,Completed,Child Care/Preschool,2018/2019,116,DTaP,0.991,0.991,0.009,0.000,0.000,0.000,0.000,0.000
11649,Douglas County Child Care Facilities,The Goddard School - 12700 Lynnfield DR,Regular,Not Completed,Child Care/Preschool,2018/2019,,DTaP,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11650,Douglas County Child Care Facilities,The Goddard School Annex,Regular,Completed,Child Care/Preschool,2018/2019,74,DTaP,1.000,0.973,0.027,0.000,0.000,0.000,0.000,0.000
11651,Weld County Child Care Facilities,The Goddard School Erie,Regular,Completed,Child Care/Preschool,2018/2019,133,DTaP,0.940,0.977,0.000,0.000,0.000,0.023,0.000,0.000
11652,Douglas County Child Care Facilities,The Goddard School In Parker,Regular,Completed,Child Care/Preschool,2018/2019,118,DTaP,1.000,0.941,0.025,0.000,0.000,0.000,0.034,0.000
11653,Jefferson County Child Care Facilities,The Goddard School Of Arvada,Regular,Not Completed,Child Care/Preschool,2018/2019,,DTaP,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11654,Douglas County Child Care Facilities,The Goddard School Of Castle Rock,Regular,Completed,Child Care/Preschool,2018/2019,126,DTaP,0.976,0.976,0.000,0.000,0.000,0.000,0.024,0.000
11657,Jefferson County Child Care Facilities,The Great Escape,Regular,Completed,Child Care/Preschool,2018/2019,93,DTaP,1.000,0.882,0.000,0.000,0.000,0.000,0.118,0.000
11658,La Plata County Child Care Facilities,The Growing Place,Regular,Completed,Child Care/Preschool,2018/2019,20,DTaP,1.000,0.950,0.000,0.000,0.000,0.000,0.050,0.000
11663,Larimer County Child Care Facilities,The Learning Experience - 4775 Boardwalk DR,Regular,Completed,Child Care/Preschool,2018/2019,127,DTaP,0.890,0.874,0.094,0.000,0.000,0.000,0.031,0.000
11664,Arapahoe County Child Care Facilities,The Learning Experience - 6500 S Peoria ST,Regular,Completed,Child Care/Preschool,2018/2019,87,DTaP,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
11665,Jefferson County Child Care Facilities,The Learning Experience - Westminster,Regular,Completed,Child Care/Preschool,2018/2019,151,DTaP,0.993,0.960,0.033,0.000,0.000,0.000,0.007,0.000
11669,Douglas County Child Care Facilities,The Meadows Early Learning Center,Regular,Completed,Child Care/Preschool,2018/2019,121,DTaP,1.000,0.975,0.000,0.000,0.000,0.000,0.025,0.000
11671,Arapahoe County Child Care Facilities,The Ohana School Of Early Childhood,Regular,Completed,Child Care/Preschool,2018/2019,136,DTaP,1.000,0.993,0.007,0.000,0.000,0.000,0.000,0.000
11674,Denver County Child Care Facilities,The Rise School Of Denver,Regular,Completed,Child Care/Preschool,2018/2019,52,DTaP,1.000,0.962,0.019,0.000,0.000,0.000,0.019,0.000
11675,El Paso County Child Care Facilities,The Preschool Program At St Paul Catholic Sch,Regular,Completed,Child Care/Preschool,2018/2019,20,DTaP,1.000,0.950,0.000,0.000,0.000,0.000,0.050,0.000
11678,El Paso County Child Care Facilities,The Springs Comm. Church Preschool,Regular,Completed,Child Care/Preschool,2018/2019,144,DTaP,0.799,0.819,0.000,0.056,0.000,0.104,0.021,0.000
11680,El Paso County Child Care Facilities,The Sunshine House - 6910 Wills DR,Regular,Not Completed,Child Care/Preschool,2018/2019,,DTaP,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11683,Boulder County Child Care Facilities,TLC Learning Center,Regular,Completed,Child Care/Preschool,2018/2019,79,DTaP,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
11684,Eagle County Child Care Facilities,The Vail Child Development Center,Regular,Completed,Child Care/Preschool,2018/2019,91,DTaP,0.923,0.879,0.022,0.077,0.000,0.000,0.022,0.000
11685,Arapahoe County Child Care Facilities,The Village @ Ames,Regular,Completed,Child Care/Preschool,2018/2019,213,DTaP,0.995,0.958,0.009,0.000,0.000,0.000,0.033,0.000
11686,Arapahoe County Child Care Facilities,The Village Child Development Ctr,Regular,Completed,Child Care/Preschool,2018/2019,196,DTaP,1.000,0.934,0.066,0.000,0.000,0.000,0.000,0.000
11687,Arapahoe County Child Care Facilities,The Village For Early Childhood Education,Regular,Completed,Child Care/Preschool,2018/2019,273,DTaP,1.000,0.960,0.011,0.000,0.000,0.000,0.029,0.000
11688,Larimer County Child Care Facilities,Thompson Integrated Ec Edmonson Prm,Regular,Completed,Child Care/Preschool,2018/2019,63,DTaP,0.921,0.968,0.000,0.032,0.000,0.000,0.000,0.000
11689,Larimer County Child Care Facilities,Thompson Integrated Ec Prgm Sarah Mil,Regular,Completed,Child Care/Preschool,2018/2019,57,DTaP,0.930,0.965,0.000,0.000,0.000,0.018,0.018,0.000
11690,Larimer County Child Care Facilities,Thompson Integrated Ec Program C M Center,Regular,Completed,Child Care/Preschool,2018/2019,29,DTaP,0.931,0.897,0.000,0.034,0.000,0.000,0.034,0.034
11691,Larimer County Child Care Facilities,Thompson Intergrated Ec Prgm Berthoud,Regular,Completed,Child Care/Preschool,2018/2019,24,DTaP,0.792,1.000,0.000,0.000,0.000,0.000,0.000,0.000
11692,Larimer County Child Care Facilities,Thompson R2j - Coyote Ridge,Regular,Completed,Child Care/Preschool,2018/2019,39,DTaP,0.923,0.872,0.000,0.051,0.000,0.000,0.077,0.000
11693,Larimer County Child Care Facilities,"Thompson Valley Preschool, Inc.",Regular,Completed,Child Care/Preschool,2018/2019,85,DTaP,0.941,0.871,0.000,0.000,0.000,0.047,0.071,0.012
11694,Adams County Child Care Facilities,Thornton Community Center,Regular,Completed,Child Care/Preschool,2018/2019,44,DTaP,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
11695,Adams County Child Care Facilities,Thornton Elementary Preschool,Regular,Completed,Child Care/Preschool,2018/2019,51,DTaP,0.961,0.941,0.020,0.020,0.000,0.020,0.000,0.000
11696,Arapahoe County Child Care Facilities,Three Bears Learning Center #1 Inc,Regular,Completed,Child Care/Preschool,2018/2019,96,DTaP,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
11697,Mesa County Child Care Facilities,Thunder Mountain Preschool,Regular,Completed,Child Care/Preschool,2018/2019,26,DTaP,0.808,0.923,0.000,0.038,0.000,0.038,0.000,0.000
11699,Arapahoe County Child Care Facilities,Thunderridge Infant Toddler Care,Regular,Completed,Child Care/Preschool,2018/2019,15,DTaP,1.000,0.933,0.000,0.000,0.000,0.000,0.067,0.000
11700,Arapahoe County Child Care Facilities,Timberline Elementary School,Regular,Completed,Child Care/Preschool,2018/2019,73,DTaP,0.918,0.986,0.000,0.000,0.000,0.000,0.014,0.000
11701,Summit County Child Care Facilities,Timberline Learning Center,Regular,Completed,Child Care/Preschool,2018/2019,81,DTaP,1.000,0.963,0.000,0.000,0.000,0.000,0.037,0.000
11702,Boulder County Child Care Facilities,Timberline Pk-8 Preschool,Regular,Completed,Child Care/Preschool,2018/2019,52,DTaP,0.442,0.692,0.000,0.077,0.000,0.231,0.000,0.000
11703,Costilla County Child Care Facilities,"Tiny Hands Daycare Center, Inc.",Regular,Completed,Child Care/Preschool,2018/2019,,DTaP,0.333,0.556,0.000,0.333,0.000,0.111,0.000,0.000
11705,Boulder County Child Care Facilities,Tiny Minders Daycare & Preschool North,Regular,Completed,Child Care/Preschool,2018/2019,45,DTaP,1.000,0.978,0.022,0.000,0.000,0.000,0.000,0.000
11706,Boulder County Child Care Facilities,Tiny Minders Daycare Preschool,Regular,Completed,Child Care/Preschool,2018/2019,50,DTaP,1.000,0.980,0.000,0.000,0.000,0.000,0.020,0.000
11708,Adams County Child Care Facilities,Tiny Tots And Tumblers,Regular,Completed,Child Care/Preschool,2018/2019,97,DTaP,1.000,0.990,0.000,0.000,0.000,0.000,0.010,0.000
